,district,date,month,year,visitors
441,Jayashankar Bhoopalpally,01-10-2017,October,2017,55
442,Jayashankar Bhoopalpally,01-11-2017,November,2017,58
443,Jayashankar Bhoopalpally,01-12-2017,December,2017,57
444,Jogulamba Gadwal ,01-01-2017,January,2017,20
445,Jogulamba Gadwal ,01-02-2017,February,2017,16
446,Jogulamba Gadwal ,01-03-2017,March,2017,32
447,Jogulamba Gadwal ,01-04-2017,April,2017,29
448,Jogulamba Gadwal ,01-05-2017,May,2017,31
449,Jogulamba Gadwal ,01-06-2017,June,2017,32
450,Jogulamba Gadwal ,01-07-2017,July,2017,34
451,Jogulamba Gadwal ,01-08-2017,August,2017,25
452,Jogulamba Gadwal ,01-09-2017,September,2017,42
453,Jogulamba Gadwal ,01-10-2017,October,2017,13
454,Jogulamba Gadwal ,01-11-2017,November,2017,21
455,Jogulamba Gadwal ,01-12-2017,December,2017,10
456,Kamareddy ,01-01-2017,January,2017,0
457,Kamareddy ,01-02-2017,February,2017,0
458,Kamareddy ,01-03-2017,March,2017,0
459,Kamareddy ,01-04-2017,April,2017,0
460,Kamareddy ,01-05-2017,May,2017,0
461,Kamareddy ,01-06-2017,June,2017,0
462,Kamareddy ,01-07-2017,July,2017,0
463,Kamareddy ,01-08-2017,August,2017,0
464,Kamareddy ,01-09-2017,September,2017,0
465,Kamareddy ,01-10-2017,October,2017,0
466,Kamareddy ,01-11-2017,November,2017,0
467,Kamareddy ,01-12-2017,December,2017,0
468,Karimnagar ,01-01-2017,January,2017,0
469,Karimnagar ,01-02-2017,February,2017,0
470,Karimnagar ,01-03-2017,March,2017,0
471,Karimnagar ,01-04-2017,April,2017,0
472,Karimnagar ,01-05-2017,May,2017,0
473,Karimnagar ,01-06-2017,June,2017,0
474,Karimnagar ,01-07-2017,July,2017,0
475,Karimnagar ,01-08-2017,August,2017,0
476,Karimnagar ,01-09-2017,September,2017,0
477,Karimnagar ,01-10-2017,October,2017,0
478,Karimnagar ,01-11-2017,November,2017,0
479,Karimnagar ,01-12-2017,December,2017,0
480,Khammam,01-01-2017,January,2017,0
481,Khammam,01-02-2017,February,2017,0
482,Khammam,01-03-2017,March,2017,0
483,Khammam,01-04-2017,April,2017,0
484,Khammam,01-05-2017,May,2017,0
485,Khammam,01-06-2017,June,2017,0
486,Khammam,01-07-2017,July,2017,0
487,Khammam,01-08-2017,August,2017,0
488,Khammam,01-09-2017,September,2017,0
489,Khammam,01-10-2017,October,2017,0
490,Khammam,01-11-2017,November,2017,0
491,Khammam,01-12-2017,December,2017,0
492,Komaram Bheem Asifabad,01-01-2017,January,2017,0
493,Komaram Bheem Asifabad,01-02-2017,February,2017,0
494,Komaram Bheem Asifabad,01-03-2017,March,2017,0
495,Komaram Bheem Asifabad,01-04-2017,April,2017,0
496,Komaram Bheem Asifabad,01-05-2017,May,2017,0
497,Komaram Bheem Asifabad,01-06-2017,June,2017, 
498,Komaram Bheem Asifabad,01-07-2017,July,2017,0
499,Komaram Bheem Asifabad,01-08-2017,August,2017,0
500,Komaram Bheem Asifabad,01-09-2017,September,2017,0
501,Komaram Bheem Asifabad,01-10-2017,October,2017,0
502,Komaram Bheem Asifabad,01-11-2017,November,2017,0
503,Komaram Bheem Asifabad,01-12-2017,December,2017,0
504,Mahabubabad ,01-01-2017,January,2017,0
505,Mahabubabad ,01-02-2017,February,2017,0
506,Mahabubabad ,01-03-2017,March,2017,0
507,Mahabubabad ,01-04-2017,April,2017,0
508,Mahabubabad ,01-05-2017,May,2017,0
509,Mahabubabad ,01-06-2017,June,2017,0
510,Mahabubabad ,01-07-2017,July,2017,0
511,Mahabubabad ,01-08-2017,August,2017,0
512,Mahabubabad ,01-09-2017,September,2017,0
513,Mahabubabad ,01-10-2017,October,2017,0
514,Mahabubabad ,01-11-2017,November,2017,0
515,Mahabubabad ,01-12-2017,December,2017,0
516,Mahbubnagar,01-01-2017,January,2017,42
517,Mahbubnagar,01-02-2017,February,2017,39
518,Mahbubnagar,01-03-2017,March,2017,38
519,Mahbubnagar,01-04-2017,April,2017,39
520,Mahbubnagar,01-05-2017,May,2017,41
521,Mahbubnagar,01-06-2017,June,2017,43
522,Mahbubnagar,01-07-2017,July,2017,42
523,Mahbubnagar,01-08-2017,August,2017,44
524,Mahbubnagar,01-09-2017,September,2017,54
525,Mahbubnagar,01-10-2017,October,2017,47
526,Mahbubnagar,01-11-2017,November,2017,49
527,Mahbubnagar,01-12-2017,December,2017,42
528,Mancherial,01-01-2017,January,2017,0
529,Mancherial,01-02-2017,February,2017,0
530,Mancherial,01-03-2017,March,2017,0
531,Mancherial,01-04-2017,April,2017,0
532,Mancherial,01-05-2017,May,2017,0
533,Mancherial,01-06-2017,June,2017, 
534,Mancherial,01-07-2017,July,2017,0
535,Mancherial,01-08-2017,August,2017,0
536,Mancherial,01-09-2017,September,2017,0
537,Mancherial,01-10-2017,October,2017,0
538,Mancherial,01-11-2017,November,2017,0
539,Mancherial,01-12-2017,December,2017,0
540,Medak ,01-01-2017,January,2017,0
541,Medak ,01-02-2017,February,2017,0
542,Medak ,01-03-2017,March,2017,0
543,Medak ,01-04-2017,April,2017,0
544,Medak ,01-05-2017,May,2017,0
545,Medak ,01-06-2017,June,2017,0
546,Medak ,01-07-2017,July,2017,0
547,Medak ,01-08-2017,August,2017,0
548,Medak ,01-09-2017,September,2017,0
549,Medak ,01-10-2017,October,2017,0
550,Medak ,01-11-2017,November,2017,0
551,Medak ,01-12-2017,December,2017,0
552,Medchal ,01-01-2017,January,2017, 
553,Medchal ,01-02-2017,February,2017, 
554,Medchal ,01-03-2017,March,2017, 
555,Medchal ,01-04-2017,April,2017, 
556,Medchal ,01-05-2017,May,2017, 
557,Medchal ,01-06-2017,June,2017, 
558,Medchal ,01-07-2017,July,2017, 
559,Medchal ,01-08-2017,August,2017, 
560,Medchal ,01-09-2017,September,2017, 
561,Medchal ,01-10-2017,October,2017, 
562,Medchal ,01-11-2017,November,2017, 
563,Medchal ,01-12-2017,December,2017, 
564,Nagarkurnool ,01-01-2017,January,2017,19
565,Nagarkurnool ,01-02-2017,February,2017,25
566,Nagarkurnool ,01-03-2017,March,2017,24
