,district,Year,mean,month,Visitors
287,Mancherial,2018,33167.0,March,20749.0
288,Medak ,2018,325000.0,March,600000.0
289,Nagarkurnool ,2018,174077.08333333334,March,184508.0
290,Nalgonda,2018,13386.5,March,9677.0
291,Nirmal,2018,348110.4166666667,March,328099.0
292,Nizamabad,2018,3451.9166666666665,March,2903.0
293,Peddapalli,2018,1854.5,March,2325.0
294,Rajanna Sircilla ,2018,902852.5833333334,March,1022669.0
295,Sangareddy ,2018,189158.3333333333,March,158500.0
296,Siddipet,2018,106941.66666666669,March,164800.0
297,Wanaparthy ,2018,23883.33333333333,March,20050.0
298,Warangal (Rural),2018,25167.666666666668,March,26200.0
299,Warangal (Urban),2018,143611.33333333334,March,140300.0
300,Yadadri Bhongir,2018,1139448.1666666667,March,2836580.0
301,Adilabad,2019,64657.91666666666,March,14347.0
302,Bhadradri Kothagudem ,2019,1068144.75,March,225448.0
303,Hyderabad,2019,1150196.8333333333,March,1009991.0
304,Jagtial ,2019,257176.25,March,194090.0
305,Jangaon ,2019,27407.5,March,27300.0
306,Jayashankar Bhoopalpally,2019,55210.833333333336,March,37500.0
307,Jogulamba Gadwal ,2019,167332.91666666666,March,155013.0
308,Kamareddy ,2019,44.5,March,45.0
309,Karimnagar ,2019,6457.583333333333,March,6634.0
310,Khammam,2019,117786.66666666669,March,91340.0
311,Komaram Bheem Asifabad,2019,1599.0833333333333,March,1212.0
312,Mahabubabad ,2019,12740.416666666666,March,13490.0
313,Mahbubnagar,2019,211234.5833333333,March,173658.0
314,Mancherial,2019,22484.166666666668,March,16253.0
315,Medak ,2019,454380.8333333333,March,1000000.0
316,Mulugu,2019,151650.0,March,156610.0
317,Nagarkurnool ,2019,174442.66666666666,March,184508.0
318,Nalgonda,2019,11743.166666666666,March,8467.0
319,Narayanapet,2019,64875.0,March,
320,Nirmal,2019,318064.8333333333,March,424964.0
321,Nizamabad,2019,3861.0833333333335,March,938.0
322,Peddapalli,2019,1381.75,March,895.0
323,Rajanna Sircilla ,2019,1402741.4166666667,March,1444971.0
324,Sangareddy ,2019,379430.0,March,747000.0
325,Siddipet,2019,248988.66666666663,March,204600.0
326,Wanaparthy ,2019,24886.58333333333,March,20050.0
327,Warangal (Rural),2019,29458.33333333333,March,29000.0
328,Warangal (Urban),2019,149602.5,March,154305.0
329,Yadadri Bhongir,2019,374114.5,March,481923.0
330,Adilabad,2016,422963.0833333333,April,341948.0
331,Bhadradri Kothagudem ,2016,296343.3333333333,April,
332,Hyderabad,2016,1949558.75,April,1127738.0
333,Jagtial ,2016,207692.3333333333,April,
334,Jangaon ,2016,13553.333333333334,April,
335,Jayashankar Bhoopalpally,2016,81133.33333333333,April,
336,Jogulamba Gadwal ,2016,174467.0,April,
337,Kamareddy ,2016,42.333333333333336,April,
338,Karimnagar ,2016,763955.6666666666,April,956959.0
339,Khammam,2016,417085.9166666667,April,971622.0
340,Komaram Bheem Asifabad,2016,0.0,April,
341,Mahabubabad ,2016,46667.333333333336,April,
342,Mahbubnagar,2016,692063.8333333334,April,622432.0
343,Mancherial,2016,2600.6666666666665,April,
344,Medak ,2016,288600.0,April,300000.0
